ID,Name,LongLat
9215,King's Crossing South (north side of driveway),"44.26371, -76.50026"
700,St. Martha Street (south side of Rose Abbey),"44.26638, -76.44734"
65,McCallum Street (west side of Rose Abbey),"44.26388, -76.44688"
139,Rideau Town Centre (north side of Gore),"44.25958, -76.45627"
132,Barrett Court (west side of Highway 15),"44.24933, -76.46111"
266,Leon's Centre (west side of Ontario),"44.23333, -76.47889"
9207,St. Martha Street (north side of Rose Abbey),"44.26597, -76.44637"
146,Joyce Street (north side of Sheppard),"44.27357, -76.47822"
141,Esdon Street (west side of Guthrie),"44.2722, -76.48172"
160,Virginia Street (north side of Guthrie),"44.27115, -76.48319"
168,Conacher Drive (west side of Sutherland),"44.26854, -76.48175"
207,235 Conacher Drive (north side),"44.26577, -76.49119"
210,Division Street (north side of Benson),"44.26649, -76.49734"
2026,Railway Street (west side of Division),"44.24759, -76.49589"
286,Pine Street (west side of Division),"44.23903, -76.49444"
301,West Street (north side of Bagot),"44.22711, -76.48787"
427,Kingston General Hospital (north side of Stuart),"44.22443, -76.49479"
2042,Alfred Street (north side of Union),"44.22786, -76.49714"
107,Albert Street (north side of Union),"44.2273, -76.50008"
437,Victoria Street (north side of Union),"44.22687, -76.50233"
450,Herbert Street (east side of Mowat),"44.22517, -76.52042"
471,Mulcaster Street (east side of Norman Rogers),"44.23532, -76.52292"
502,Kingston Centre Transfer Point Platform 4,"44.242, -76.5168"
475,MacPherson Avenue (east side of Van Order),"44.2357, -76.51785"
482,215 Norman Rogers Drive (west side),"44.23347, -76.5229"
485,Johnson Street (west side of Roden),"44.23076, -76.52263"
487,Mowat Avenue (south side of Johnson),"44.2304, -76.52114"
449,Francis Street (west side of Mowat),"44.22504, -76.52055"
452,Cartwright Street (north side of Churchill),"44.22252, -76.5243"
433,Albert Street (south side of Union),"44.2272, -76.49989"
690,Douglas Avenue (north side of Elliott),"44.25612, -76.5038"
209,Kingslake Plaza (south side of Benson),"44.26636, -76.49699"
208,300 Conacher Drive (south side),"44.2662, -76.49472"
206,230 Conacher Drive (south side),"44.26564, -76.49133"
182,Wilson Street (south side of Conacher),"44.2659, -76.48787"
169,Sutherland Drive (east side of Conacher),"44.26828, -76.48156"
155,Sutherland Drive (east side of Virginia),"44.26859, -76.48751"
156,Mgr. Remi-Gaulin School (south side of Virginia),"44.27002, -76.48671"
142,Esdon Street (east side of Guthrie),"44.27234, -76.48133"
855,Seniors Centre (east side of Francis),"44.22465, -76.52181"
179,1130 Montreal Street (west side),"44.26391, -76.47869"
188,Daly Street (north side of Weller),"44.26263, -76.48195"
187,Baker Street (north side of Weller),"44.26254, -76.48348"
205,71 Compton Street (north side),"44.26452, -76.49061"
201,Weller Avenue at KCHC (west side of Compton),"44.26269, -76.49087"
196,Wiley Street (south side of Drennan),"44.26054, -76.48881"
195,Wilson Street (south side of Drennan),"44.26077, -76.48593"
2022,John Counter Boulevard (west side of Montreal),"44.25616, -76.48317"
2023,Village Drive (west side of Montreal),"44.25465, -76.48349"
225,Royal Canadian Legion (west side of Montreal),"44.25127, -76.48568"
250,Stephen Street (west side of Montreal),"44.24304, -76.48794"
2029,362 Montreal Street (west side),"44.24126, -76.4877"
265,Artillery Park (west side of Bagot),"44.23398, -76.4839"
257,Montreal Street (north side of Raglan),"44.23793, -76.48509"
251,Stephen Street (east side of Montreal),"44.24274, -76.48775"
230,Joseph Street (east side of Montreal),"44.24565, -76.48733"
222,Village Drive (east side of Montreal),"44.25479, -76.48322"
184,Wilson Street (south side of Compton),"44.26484, -76.48722"
189,Daly Street (south side of Weller),"44.26252, -76.48185"
9044,Lappan's Lane (south side of John Counter),"44.25914, -76.50893"
843,Johnson Street (east side of Portsmouth),"44.22994, -76.52596"
845,Miles Avenue (east side of Portsmouth),"44.2347, -76.52722"
506,Elmwood Street (east side of Portsmouth),"44.24097, -76.529"
377,Howard Crescent (east side of Portsmouth),"44.24849, -76.52949"
396,Princess Street (south side of John Counter),"44.25737, -76.54133"
755,Apprentice Street (south side of Craftsman),"44.24311, -76.45447"
29,Princess Mary Avenue (north side of Cambrai),"44.24059, -76.43969"
123,Canex (east side of Niagara Park),"44.23801, -76.45517"
274,University Avenue (north side of Brock),"44.23264, -76.49536"
335,Mack Street (east side of Regent),"44.23419, -76.50888"
328,Helen Street (north side of Park),"44.23832, -76.51208"
2046,Wright Crescent (west side of Palace),"44.23967, -76.51446"
327,Park Street (west side of Palace),"44.23834, -76.51434"
108,Albert Street (south side of Johnson),"44.23151, -76.49939"
290,University Avenue (south side of Johnson),"44.23157, -76.49527"
836,Indian Road (north side of John Counter),"44.25907, -76.52633"
822,Cataraqui Woods Drive (east side of Midland),"44.26702, -76.57402"
712,INVISTA Centre,"44.27602, -76.56837"
847,Conacher Drive (east side of Wilson),"44.26587, -76.48762"
829,259 Dalton Avenue (north side),"44.26797, -76.50764"
390,Mohawk Place (west side of Portsmouth),"44.25325, -76.52997"
389,Portsmouth Avenue (south side of Glengarry),"44.25233, -76.52941"
387,Seaforth Road (south side of Glengarry),"44.25271, -76.52341"
384,Jane Avenue (west side of Avenue),"44.2467, -76.51897"
372,Concession Street (east side of Kingscourt),"44.24164, -76.5011"
243,Third Avenue (east side of Kingscourt),"44.2445, -76.50135"
238,Theresa Crescent (south side of Kirkpatrick),"44.25333, -76.49789"
860,Oak Street (west side of Kingscourt),"44.24998, -76.50189"
861,Seventh Avenue (west side of Kingscourt),"44.24762, -76.50172"
9042,Kingston Centre (south side of Princess),"44.24314, -76.51625"
9015,Bayridge Centre (west side of Bayridge),"44.25013, -76.58999"
37,Duncan McArthur Hall (north side of driveway),"44.22363, -76.51536"
9080,St. Lawrence Avenue (south side of Stuart),"44.22365, -76.49897"
9081,369 Dalton Avenue (north side),"44.26897, -76.51811"
9084,Brackenwood Crescent (west side of Birchwood),"44.26787, -76.57902"
2079,Cataraqui Centre Transfer Point Platform 3,"44.25508, -76.57248"
2081,Cataraqui Centre Transfer Point Platform 4,"44.25499, -76.57261"
2085,Cataraqui Centre Transfer Point Platform 8,"44.25497, -76.57308"
9088,Speers Boulevard (north side of Kildare),"44.22058, -76.66115"
9089,Champlain Avenue (west side of Indian),"44.25528, -76.52695"
9090,Bayridge Drive (north side of Hudson),"44.24512, -76.59018"
9239,Discovery Avenue (north side of John Marks),"44.27467, -76.44144"
9234,Waterside Way (west side of Highway 15),"44.26972, -76.45062"
9241,Rose Abbey Drive (east side of Highway 15),"44.26878, -76.45127"
9101,Grant Hall (east side of University),"44.22614, -76.49548"
9100,Ellis Hall (west side of University),"44.22624, -76.49571"
3025,Union Street (west side of Sir John A. Macdonald),"44.2228, -76.51283"
9103,Speers Boulevard (south side of Amherst),"44.22497, -76.66302"
3026,Nelson Street (north side of Princess),"44.2371, -76.50178"
9120,VIA Rail Station (south side of John Counter),"44.25857, -76.53841"
9121,Compton Street (north side of Weller),"44.26198, -76.49049"
9114,Woodhaven Drive (south side of Cataraqui Woods),"44.2673, -76.5955"
9115,Holden Street (south side of Cataraqui Woods),"44.26726, -76.59041"
9106,Birchwood Drive (north side of Cataraqui Woods),"44.26693, -76.579"
3030,University Avenue (south side of Earl),"44.2298, -76.49573"
9128,Lakeview Avenue (north side of Henderson),"44.22839, -76.57231"
