ID,Code,Name,Coordinates,Description,Zone ID,URL,Location Type,Parent Station ID,Timezone,Wheelchair Boarding
512,,Bath Road (east side of Armstrong),"44.23884, -76.54208",,,,,,,0
516,,Kingsdale Avenue (east side of Armstrong),"44.24192, -76.54297",,,,,,,0
9027,,Arbour Heights (west side of Tanner),"44.23931, -76.55956",,,,,,,0
9028,,Bath Road (west side of Tanner),"44.23736, -76.55947",,,,,,,0
101,,RioCan Centre (east side of driveway),"44.24492, -76.5653",,,,,,,0
9232,,Taylor-Kidd Boulevard (east side of Gardiners),"44.25126, -76.56821",,,,,,,0
9227,,King's Crossing North (east side of driveway),"44.26492, -76.50275",,,,,,,0
345,,Regent Street (north side of Brock),"44.23262, -76.50858",,,,,,,0
9217,,Kingston Centre (north side of Bath),"44.24066, -76.5175",,,,,,,0
616,,Arlington Park Place (west side of Gardiners),"44.24883, -76.56839",,,,,,,0
346,,Willingdon Avenue (south side of Johnson),"44.23124, -76.50772",,,,,,,0
350,,Victoria Street (south side of Johnson),"44.23142, -76.50222",,,,,,,0
2036,,Downtown Transfer Point Platform 2,"44.23114, -76.48536",,,,,,,0
231,,Russell Street (east side of Division),"44.24371, -76.49515",,,,,,,0
832,,Weller Avenue (east side of First Canada),"44.26305, -76.49703",,,,,,,0
2012,,Dalgleish Avenue (west side of Rose Abbey),"44.26155, -76.44962",,,,,,,0
134,,Medley Court (west side of Highway 15),"44.25291, -76.46075",,,,,,,0
127,,Highway 2 at Royal Military College (north side),"44.23647, -76.46707",,,,,,,0
79,,Barriefield (east side of Highway 15),"44.24026, -76.45848",,,,,,,0
1,,Montreal Street Park and Ride,"44.27897, -76.47257",,,,,,,0
145,,242 Guthrie Drive (west side),"44.27413, -76.4796",,,,,,,0
2013,,118 Virginia Street (north side),"44.27135, -76.48445",,,,,,,0
157,,80 Virginia Street (north side),"44.2704, -76.48624",,,,,,,0
181,,Wilson Street (north side of Conacher),"44.26603, -76.48762",,,,,,,0
9074,,Bus Terminal Transfer Point Platform 4,"44.25851, -76.50624",,,,,,,0
9076,,Douglas Avenue (south side of Elliott),"44.25596, -76.50403",,,,,,,0
2021,,Division Street (south side of Elliott),"44.25626, -76.49763",,,,,,,0
70,,Fraser Street (west side of Division),"44.24533, -76.49554",,,,,,,0
288,,Adelaide Street (west side of Division),"44.24093, -76.49485",,,,,,,0
280,,Colborne Street (west side of Division),"44.23475, -76.49348",,,,,,,0
297,,Johnson Street (west side of Bagot),"44.22983, -76.4855",,,,,,,0
451,,Francis Street (south side of Churchill),"44.22257, -76.52163",,,,,,,0
2056,,Johnson Street (east side of Yonge),"44.23046, -76.5184",,,,,,,0
484,,Silver Street (east side of Roden),"44.23195, -76.52259",,,,,,,0
479,,Byron Crescent (east side of Norman Rogers),"44.2363, -76.52301",,,,,,,0
474,,MacPherson Avenue (west side of Van Order),"44.23563, -76.51799",,,,,,,0
473,,Norman Rogers Drive (west side of Van Order),"44.23381, -76.51625",,,,,,,0
472,,Van Order Drive (north side of Norman Rogers),"44.23381, -76.51593",,,,,,,0
476,,Casterton Avenue (west side of Norman Rogers),"44.23775, -76.52331",,,,,,,0
478,,306 Norman Rogers Drive (west side),"44.23655, -76.52319",,,,,,,0
480,,Mulcaster Street (west side of Norman Rogers),"44.23529, -76.52308",,,,,,,0
448,,Mowat Avenue (north side of Forsythe),"44.22693, -76.52053",,,,,,,0
436,,Beverley Street (south side of Union),"44.22663, -76.50261",,,,,,,0
300,,Earl Street (east side of Bagot),"44.22844, -76.48647",,,,,,,0
287,,Adelaide Street (east side of Division),"44.24078, -76.49462",,,,,,,0
234,,Kingston Police (east side of Division),"44.25018, -76.4961",,,,,,,0
216,,Derby Gate Crescent (north side of Elliott),"44.25637, -76.4986",,,,,,,0
746,,First Canada Avenue (east side of Division),"44.26366, -76.49817",,,,,,,0
163,,Abbey Dale Court (south side of Conacher),"44.26655, -76.48435",,,,,,,0
159,,Guthrie Drive (south side of Virginia),"44.2712, -76.48351",,,,,,,0
454,,Seniors Centre (west side of Francis),"44.22447, -76.52193",,,,,,,0
175,,Greer Street (west side of Montreal),"44.26617, -76.47869",,,,,,,0
9056,,Weller Avenue (west side of First Canada),"44.26258, -76.49711",,,,,,,0
2018,,Worthington Park (south side of Weller),"44.26165, -76.49313",,,,,,,0
202,,Compton Street (south side of Weller),"44.26186, -76.49003",,,,,,,0
191,,Montreal Street (south side of Drennan),"44.26091, -76.48144",,,,,,,0
224,,Hickson Avenue (west side of Montreal),"44.25268, -76.48522",,,,,,,0
2025,,Railway Street (west side of Montreal),"44.24802, -76.48706",,,,,,,0
54,,Joseph Street (west side of Montreal),"44.24582, -76.48747",,,,,,,0
254,,Charles Street (west side of Montreal),"44.2401, -76.48653",,,,,,,0
2030,,Rideaucrest Home (west side of Rideau),"44.23778, -76.48287",,,,,,,0
261,,Rideau Street (south side of North),"44.23693, -76.48282",,,,,,,0
259,,Rideaucrest Home (east side of Rideau),"44.23808, -76.48276",,,,,,,0
223,,Hickson Avenue (east side of Montreal),"44.25276, -76.48494",,,,,,,0
212,,Briceland Street (east side of Montreal),"44.25959, -76.48168",,,,,,,0
192,,Daly Street (north side of Drennan),"44.26116, -76.48231",,,,,,,0
194,,Wilson Street (north side of Drennan),"44.26086, -76.48657",,,,,,,0
148,,Sheppard Street (east side of Montreal),"44.273, -76.47739",,,,,,,0
835,,Aberfoyle Road (south side of John Counter),"44.25883, -76.52193",,,,,,,0
833,,MTO Office (south side of John Counter),"44.25889, -76.51422",,,,,,,0
846,,Van Order Drive (east side of Portsmouth),"44.23783, -76.52823",,,,,,,0
375,,Fairview Road (east side of Portsmouth),"44.24435, -76.52922",,,,,,,0
376,,Valleyview Avenue (east side of Portsmouth),"44.24654, -76.52936",,,,,,,0
80,,Givenchy Street (south side of Craftsman),"44.24334, -76.4513",,,,,,,0
59,,Moro Street (south side of Craftsman),"44.24403, -76.44272",,,,,,,0
84,,Batoche Avenue (north side of Lundy's),"44.23798, -76.44851",,,,,,,0
83,,49 Lundy's Lane (north side),"44.23769, -76.45115",,,,,,,0
334,,Carruthers Avenue (east side of Regent),"44.23544, -76.50899",,,,,,,0
331,,Dunlop Street (east side of Regent),"44.23712, -76.50915",,,,,,,0
330,,Park Street (east side of Regent),"44.23822, -76.50929",,,,,,,0
325,,Park Street (east side of Palace),"44.2384, -76.51418",,,,,,,0
326,,Wright Crescent (east side of Palace),"44.24005, -76.51435",,,,,,,0
2044,,Regent Street (south side of Park),"44.23833, -76.50949",,,,,,,0
332,,Dunlop Street (west side of Regent),"44.23699, -76.50931",,,,,,,0
333,,Carruthers Avenue (west side of Regent),"44.2356, -76.50918",,,,,,,0
726,,Binnington Court (north side of Dalton),"44.27026, -76.52853",,,,,,,0
725,,Grant Timmins Drive (west side of Binnington),"44.26715, -76.52879",,,,,,,0
827,,442 Dalton Avenue (south side),"44.26881, -76.51267",,,,,,,0
830,,St. Remy Place (south side of Dalton),"44.26785, -76.51036",,,,,,,0
9069,,212 Dalton Avenue (south side),"44.26784, -76.5079",,,,,,,0
730,,Warne Crescent (south side of Dalton),"44.26569, -76.50219",,,,,,,0
9050,,Lappan's Lane (north side of John Counter),"44.2594, -76.50997",,,,,,,0
2050,,MTO Office (north side of John Counter),"44.2591, -76.51521",,,,,,,0
834,,Aberfoyle Road (north side of John Counter),"44.25907, -76.52175",,,,,,,0
824,,Gardiners Road (south side of Cataraqui Woods),"44.26708, -76.56984",,,,,,,0
388,,McMichael Street (south side of Glengarry),"44.25262, -76.52567",,,,,,,0
242,,Seventh Avenue (east side of Kingscourt),"44.24743, -76.50155",,,,,,,0
241,,Oak Street (east side of Kingscourt),"44.25008, -76.50174",,,,,,,0
240,,Kingscourt Avenue (south side of Kirkpatrick),"44.25324, -76.50138",,,,,,,0
237,,Theresa Crescent (north side of Kirkpatrick),"44.25346, -76.49797",,,,,,,0
239,,Kingscourt Avenue (north side of Kirkpatrick),"44.25335, -76.50146",,,,,,,0
863,,Third Avenue (west side of Kingscourt),"44.2447, -76.50152",,,,,,,0
865,,Concession Street (west side of Kingscourt),"44.24148, -76.50123",,,,,,,0
762,,Macdonnell Street (north side of Concession),"44.24132, -76.50563",,,,,,,0
368,,Leroy Grant Drive (north side of Concession),"44.24203, -76.5083",,,,,,,0
9035,,Glen Castle Road (south side of Henderson),"44.22811, -76.57932",,,,,,,0
9039,,Portsmouth Avenue (south side of King),"44.22031, -76.52521",,,,,,,0
9041,,1055 Princess Street/Kingston Centre (north side),"44.24375, -76.51695",,,,,,,0
708,,Jean Royce Hall (south side of West Campus Lane),"44.2246, -76.51594",,,,,,,0
706,,John Orr Tower (east side of West Campus Lane),"44.22576, -76.51402",,,,,,,0
9078,,1281 Midland Avenue (west side),"44.27126, -76.57434",,,,,,,0
9083,,321 Yonge Street (east side),"44.22748, -76.51811",,,,,,,0
2082,,Cataraqui Centre Transfer Point Platform 5,"44.25508, -76.57271",,,,,,,0
2083,,Cataraqui Centre Transfer Point Platform 6,"44.25498, -76.57283",,,,,,,0
9088,,Earl Street (west side of University),"44.22995, -76.4957",,,,,,,0
814,,695 Innovation Drive (south side),"44.27206, -76.43939",,,,,,,0
2038,,Downtown Transfer Point Platform 5,"44.2316, -76.48413",,,,,,,0
9238,,Sutherland Drive (east side of Montreal),"44.26885, -76.47905",,,,,,,0
9091,,Bayridge Drive (south side of Hudson),"44.24499, -76.5907",,,,,,,0
9093,,Ordnance Street (east side of Bagot),"44.23461, -76.48371",,,,,,,0
9094,,326 Sutherland Drive (east side),"44.26673, -76.48887",,,,,,,0
9095,,Markers Acres Park (west side of Sutherland),"44.26678, -76.48906",,,,,,,0
9240,,Ordnance Street (west side of Montreal),"44.23495, -76.48518",,,,,,,0
9096,,Highway 15 (south side of Highway 2),"44.23973, -76.45767",,,,,,,0
9097,,Markland Street (west side of Montreal),"44.23848, -76.48564",,,,,,,0
9007,,McEwen Drive (south side of Bath),"44.23738, -76.57337",,,,,,,0
9236,,Brock Street (west side of University),"44.23272, -76.49577",,,,,,,0
9098,,Johnson Street (east side of Albert),"44.23145, -76.50006",,,,,,,0
9099,,Alfred Street (south side of Union),"44.22769, -76.49717",,,,,,,0
752,,933 John Marks Avenue (north side),"44.27489, -76.43906",,,,,,,0
9104,,McDonough Crescent (south side of Kildare),"44.21979, -76.66402",,,,,,,0
3027,,King Street (south side of Barrack),"44.23307, -76.48065",,,,,,,0
9120,,McEwen Drive (south side of Henderson),"44.22821, -76.5733",,,,,,,0
9127,,VIA Rail Station (west side of Old Mill),"44.25773, -76.53782",,,,,,,0
9109,,Holden Street (north side of Cataraqui Woods),"44.26722, -76.58913",,,,,,,0
9112,,Horizon Drive (west side of Holden),"44.26471, -76.58996",,,,,,,0
9125,,Evergreen Drive (east side of Rosanna),"44.26508, -76.59989",,,,,,,0
9117,,Larchwood Crescent (south side of Cataraqui Woods),"44.2665, -76.58353",,,,,,,0
9126,,Bittersweet Place (south side of Cataraqui Woods),"44.26723, -76.57657",,,,,,,0
9304,,Liston Drive (north side of Taylor-Kidd),"44.25162, -76.59427",,,,,,,0
780,,St. Remy Place (south side of Dalton),"44.2678462900222, -76.5103579033167",,,,,,,0
781,,212 Dalton Avenue (south side),"44.2678381595761, -76.507895635441",,,,,,,0
799,,Norwest Road (east side of Midland),"44.25722, -76.57395",,,,,,,0
850,,Centennial Drive (south side of Cataraqui Woods),"44.26926, -76.55933",,,,,,,0
9075,,Crossfield Avenue (west side of Andersen),"44.26475, -76.54892",,,,,,,0
858,,Chadwick Parkette (west side of Andersen),"44.26208, -76.54846",,,,,,,0
407,,Vanguard Court (east side of Waterloo),"44.25257, -76.54781",,,,,,,0
586,,Centennial Drive (north side of Davis),"44.25628, -76.55977",,,,,,,0
591,,Bigham Court (south side of Davis),"44.25288, -76.5642",,,,,,,0
50,,Trillium Ridge (west side of Edgar),"44.25049, -76.55295",,,,,,,0
98,,Bexley Gate (north side of Taylor-Kidd),"44.25125, -76.5613",,,,,,,0
815,,RioCan Centre (north side of Taylor-Kidd),"44.25096, -76.56476",,,,,,,0
618,,Blackburn Mews (north side of Taylor-Kidd),"44.2507, -76.57043",,,,,,,0
94,,Kimberley Street (east side of Old Colony),"44.252, -76.57695",,,,,,,0
96,,Ridley Drive (east side of Old Colony),"44.25383, -76.57724",,,,,,,0
635,,Sutton Mills Court (east side of Ridley),"44.25557, -76.57585",,,,,,,0
736,,Norwest Road (east side of Ridley),"44.2571, -76.57689",,,,,,,0
111,,257 Bath Road (north side),"44.24018, -76.52331",,,,,,,0
509,,Grenville Road (north side of Bath),"44.23913, -76.53313",,,,,,,0
2063,,258 Queen Mary Road (west side),"44.23777, -76.53599",,,,,,,0
507,,Queen Mary Road (south side of Robert Wallace),"44.23442, -76.53287",,,,,,,0
467,,Curtis Crescent (west side of Portsmouth),"44.227, -76.52586",,,,,,,0
309,,Johnson Street (east side of Ontario),"44.22851, -76.4812",,,,,,,0
2037,,Downtown Transfer Point Platform 3,"44.23107, -76.48491",,,,,,,0
312,,Gore Street (west side of Ontario),"44.22594, -76.48382",,,,,,,0
323,,George Street (north side of King),"44.22275, -76.49131",,,,,,,0
414,,Alwington Avenue (north side of King),"44.22139, -76.51031",,,,,,,0
458,,McDonald Avenue (north side of King),"44.22065, -76.52246",,,,,,,0
459,,Portsmouth Avenue (north side of King),"44.22055, -76.52471",,,,,,,0
460,,Baiden Street (east side of Portsmouth),"44.22158, -76.52514",,,,,,,0
490,,Portsmouth Avenue (north side of Johnson),"44.23014, -76.52666",,,,,,,0
505,,Polson Park School (north side of Robert Wallace),"44.23486, -76.52955",,,,,,,0
2064,,Notch Hill Road (east side of Queen Mary),"44.23726, -76.53553",,,,,,,0
521,,Country Club Drive (north side of King),"44.22032, -76.52983",,,,,,,0
9043,,Reddendale Plaza (north side of Front),"44.21842, -76.57048",,,,,,,0
546,,Evelyn Street (east side of Lakeview),"44.22108, -76.5718",,,,,,,0
549,,Meadowcrest Road (east side of Lakeview),"44.22385, -76.57203",,,,,,,0
555,,Acron Street (east side of McEwen),"44.23163, -76.57391",,,,,,,0
2074,,Gardiners Centre Transfer Point,"44.23613, -76.56781",,,,,,,0
2003,,Bayridge Centre (east side of Bayridge),"44.25076, -76.58933",,,,,,,0
641,,Woodbine Road (east side of Bayridge),"44.25867, -76.58392",,,,,,,0
9057,,Princess Street (south side) east of Bayridge,"44.25925, -76.58129",,,,,,,0
741,,2698 Princess Street (north side),"44.25882, -76.57651",,,,,,,0
739,,Princess Street (north side) east of Bayridge,"44.25943, -76.581",,,,,,,0
2002,,Pembridge Crescent (south side of Taylor-Kidd),"44.249, -76.5854",,,,,,,0
615,,Gardiners Road (south side of Progress),"44.24654, -76.5684",,,,,,,0
9208,,RioCan Centre (west side of Gardiners),"44.24433, -76.56808",,,,,,,0
9228,,Development Drive (west side of Gardiners),"44.242, -76.56793",,,,,,,0
2075,,Gardiners Centre Transfer Point,"44.23581, -76.568",,,,,,,0
558,,Bath Road (west side of McEwen),"44.23699, -76.5746",,,,,,,0
34,,Trailhead Place (south side of King),"44.21991, -76.53797",,,,,,,0
520,,Lake Ontario Park (south side of King),"44.22008, -76.53028",,,,,,,0
9053,,Bayridge Centre (north side of Taylor-Kidd),"44.25074, -76.59046",,,,,,,0
19,,Sycamore Street (north side of Bath),"44.23601, -76.62092",,,,,,,0
765,,Fairfield Boulevard (north side of Amherst),"44.22628, -76.63909",,,,,,,0
767,,Pittsfield Street (north side of Amherst),"44.227, -76.6461",,,,,,,0
775,,Loyalist Plaza (south side of Manitou),"44.21945, -76.64555",,,,,,,0
776,,Sherwood Avenue (south side of Manitou),"44.22001, -76.64342",,,,,,,0
797,,282 Amherst Drive (north side),"44.22744, -76.65475",,,,,,,0
868,,Davey Crescent (south side of Kidd),"44.2175, -76.65904",,,,,,,0
782,,Kildare Avenue (east side of Kidd),"44.22228, -76.65514",,,,,,,0
